condition,measure,mean,std,count,stderr,95% CI Lower,95% CI Upper,model
Baseline,F1,0.1360292335766423,0.0832292043290035,8220.0,0.0009179939817426,0.1342297334330643,0.1378287337202204,llama3
Baseline,Jaccard,0.0751568856447688,0.0489224024604084,8220.0,0.0005395999083869,0.0740991334896036,0.076214637799934,llama3
Baseline,Semantic,0.7958004866180048,0.0448295035888755,8220.0,0.0004944564210468,0.7948312271039306,0.7967697461320791,llama3
Control,F1,0.1227974695863746,0.0773671449774214,8220.0,0.0008533371674818,0.1211247131348681,0.1244702260378812,mistral
Control,Jaccard,0.0672509489051094,0.0446288644256104,8220.0,0.0004922434292747,0.0662860274140406,0.0682158703961783,mistral
Control,Semantic,0.7935403041362531,0.0433234331060498,8220.0,0.0004778449004819,0.7926036073995348,0.7944770008729714,mistral
Sentences,F1,0.123608905109489,0.0783356012778589,8220.0,0.0008640189595589,0.1219152096466614,0.1253026005723166,mistral
Sentences,Jaccard,0.0677728223844282,0.0455756341064229,8220.0,0.0005026860242279,0.0667874307688365,0.0687582140000199,mistral
Sentences,Semantic,0.7945197080291971,0.0433580396725471,8220.0,0.0004782266008721,0.7935822630632741,0.7954571529951202,mistral
Words,F1,0.1261661435523114,0.0787716837222385,8220.0,0.0008688288224275,0.1244630195430067,0.1278692675616161,mistral
Words,Jaccard,0.0692540145985401,0.0458992662772368,8220.0,0.0005062555931971,0.0682616257258853,0.0702464034711949,mistral
Words,Semantic,0.7950221289537713,0.0432789392532487,8220.0,0.0004773541461917,0.7940863942194554,0.7959578636880873,mistral
Baseline,F1,0.1243848783454987,0.0776755402760081,8220.0,0.0008567386781701,0.1227054540736213,0.1260643026173762,mistral
Baseline,Jaccard,0.0681782238442822,0.0450410490501029,8220.0,0.0004967897061219,0.0672043905019355,0.0691520571866289,mistral
Baseline,Semantic,0.7919362773722628,0.0436741550486105,8220.0,0.0004817132617756,0.7909919976700329,0.7928805570744927,mistral
